id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(med flm)
559;566;lh.rostralmiddlefrontal_15;lh.rostralmiddlefrontal_4;48;48;ctx-lh-rostralmiddlefrontal;ctx-lh-rostralmiddlefrontal;158;12.899999
127;190;rh.caudalmiddlefrontal_11;rh.posteriorcingulate_8;9;14;ctx-rh-caudalmiddlefrontal;ctx-rh-posteriorcingulate;193;23.400015
127;151;rh.caudalmiddlefrontal_11;rh.precentral_9;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;128;13.593753
127;504;rh.caudalmiddlefrontal_11;Right-Putamen;9;37;ctx-rh-caudalmiddlefrontal;Right-Putamen;411;22.239342
127;129;rh.caudalmiddlefrontal_11;rh.caudalmiddlefrontal_1;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;110;16.199996
127;147;rh.caudalmiddlefrontal_11;rh.precentral_26;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;113;15.000015
127;145;rh.caudalmiddlefrontal_11;rh.precentral_19;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;294;18.400002
127;187;rh.caudalmiddlefrontal_11;rh.caudalanteriorcingulate_2;9;13;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalanteriorcingulate;111;22.057142
127;131;rh.caudalmiddlefrontal_11;rh.caudalmiddlefrontal_6;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;327;18.400001
127;502;rh.caudalmiddlefrontal_11;Right-Thalamus-Proper;9;35;ctx-rh-caudalmiddlefrontal;Right-Thalamus-Proper;106;27.800007
127;494;rh.caudalmiddlefrontal_11;rh.insula_10;9;34;ctx-rh-caudalmiddlefrontal;ctx-rh-insula;328;17.400008
127;159;rh.caudalmiddlefrontal_11;rh.precentral_7;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;202;19.010908
127;256;rh.caudalmiddlefrontal_11;rh.superiorparietal_24;9;18;ctx-rh-caudalmiddlefrontal;ctx-rh-superiorparietal;96;48.000003
127;255;rh.caudalmiddlefrontal_11;rh.superiorparietal_13;9;18;ctx-rh-caudalmiddlefrontal;ctx-rh-superiorparietal;150;40.304355
127;189;rh.caudalmiddlefrontal_11;rh.caudalanteriorcingulate_5;9;13;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalanteriorcingulate;217;22.000011
127;505;rh.caudalmiddlefrontal_11;Right-Pallidum;9;38;ctx-rh-caudalmiddlefrontal;Right-Pallidum;264;31.949999
127;237;rh.caudalmiddlefrontal_11;rh.supramarginal_11;9;17;ctx-rh-caudalmiddlefrontal;ctx-rh-supramarginal;123;31.599998
127;503;rh.caudalmiddlefrontal_11;Right-Caudate;9;36;ctx-rh-caudalmiddlefrontal;Right-Caudate;406;16.949566
127;188;rh.caudalmiddlefrontal_11;rh.caudalanteriorcingulate_3;9;13;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalanteriorcingulate;106;24.174999
127;144;rh.caudalmiddlefrontal_11;rh.precentral_23;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;103;22.000000
127;128;rh.caudalmiddlefrontal_11;rh.caudalmiddlefrontal_10;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;156;14.199997
127;235;rh.caudalmiddlefrontal_11;rh.supramarginal_19;9;17;ctx-rh-caudalmiddlefrontal;ctx-rh-supramarginal;174;37.400002
127;146;rh.caudalmiddlefrontal_11;rh.precentral_22;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;248;16.300000
127;132;rh.caudalmiddlefrontal_11;rh.precentral_12;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;168;17.799996
127;493;rh.caudalmiddlefrontal_11;rh.insula_11;9;34;ctx-rh-caudalmiddlefrontal;ctx-rh-insula;219;18.700003
32;503;rh.medialorbitofrontal_2;Right-Caudate;4;36;ctx-rh-medialorbitofrontal;Right-Caudate;85;14.199989
32;504;rh.medialorbitofrontal_2;Right-Putamen;4;37;ctx-rh-medialorbitofrontal;Right-Putamen;100;18.166665
118;172;rh.superiorfrontal_35;rh.paracentral_3;8;11;ctx-rh-superiorfrontal;ctx-rh-paracentral;114;13.800002
206;244;rh.postcentral_26;rh.supramarginal_9;16;17;ctx-rh-postcentral;ctx-rh-supramarginal;97;13.199994
206;504;rh.postcentral_26;Right-Putamen;16;37;ctx-rh-postcentral;Right-Putamen;175;27.866661
